site,date,iupac_name,pubchem_cid,value,loq,lod,censored
ALN 138x,2016-11-01,"2,3,4-trichlorophenol",27582,5.065856129685917e-13,1.6886187098953058e-12,5.065856129685917e-13,left
ALN 125x,2016-11-01,"2,3,4-trichlorophenol",27582,1.0499685313542895e-11,NA,NA,none
ALN 136x,2016-11-01,"2,3,4-trichlorophenol",27582,1.1411775306048226e-11,NA,NA,none
HOV 122z,2016-11-01,"1,4-dichloro-2-(4-chlorophenyl)benzene",27960,9.16504854368932e-13,3.0550161812297733e-12,9.16504854368932e-13,left
ALN 138x,2016-11-01,"1,4-dichloro-2-(4-chlorophenyl)benzene",27960,9.16504854368932e-13,3.0550161812297733e-12,9.16504854368932e-13,left
ALN 125x,2016-11-01,"1,4-dichloro-2-(4-chlorophenyl)benzene",27960,9.16504854368932e-13,3.0550161812297733e-12,9.16504854368932e-13,left
ALN 136x,2016-11-01,"1,4-dichloro-2-(4-chlorophenyl)benzene",27960,9.16504854368932e-13,3.0550161812297733e-12,9.16504854368932e-13,left
HOV 122z,2016-11-01,tris(2-methylpropyl) phosphate,31355,3.1748806564816293e-10,NA,NA,none
ALN 138x,2016-11-01,tris(2-methylpropyl) phosphate,31355,5.5620891211583916e-11,NA,NA,none
ALN 125x,2016-11-01,tris(2-methylpropyl) phosphate,31355,6.277459998679396e-11,NA,NA,none
ALN 136x,2016-11-01,tris(2-methylpropyl) phosphate,31355,2.768532712954779e-9,NA,NA,none
HOV 122z,2016-11-01,tributyl phosphate,31357,9.437383735128345e-11,NA,NA,none
ALN 138x,2016-11-01,tributyl phosphate,31357,1.9939365793236105e-11,NA,NA,none
ALN 125x,2016-11-01,tributyl phosphate,31357,6.040845304613635e-11,NA,NA,none
ALN 136x,2016-11-01,tributyl phosphate,31357,7.242233268392752e-10,NA,NA,none
HOV 122z,2016-11-01,"1,2,4-trichloro-5-(3,4-dichlorophenyl)benzene",35823,6.770833333333334e-13,NA,NA,none
ALN 138x,2016-11-01,"1,2,4-trichloro-5-(3,4-dichlorophenyl)benzene",35823,4.25857843137255e-13,1.41952614379085e-12,4.25857843137255e-13,left
ALN 125x,2016-11-01,"1,2,4-trichloro-5-(3,4-dichlorophenyl)benzene",35823,4.748774509803922e-13,NA,NA,none
ALN 136x,2016-11-01,"1,2,4-trichloro-5-(3,4-dichlorophenyl)benzene",35823,7.506127450980392e-13,NA,NA,none
HOV 122z,2016-11-01,"1,2,4-tribromo-5-(2,4-dibromophenoxy)benzene",36159,3.8427483619621033e-13,1.2809161206540346e-12,3.8427483619621033e-13,left
ALN 138x,2016-11-01,"1,2,4-tribromo-5-(2,4-dibromophenoxy)benzene",36159,3.8427483619621033e-13,1.2809161206540346e-12,3.8427483619621033e-13,left
